symbol,expiry,strike,right,days_to_expiry,price,bid,ask,volume,open_interest,implied_volatility,delta,gamma,theta,vega,underlying_price,timestamp
SPY,2025-04-17,260.0,C,30,304.84,0.0,0.0,10.0,0.0,1.0000000000000003e-05,0.7,0.0,0.0,0.0,561.02,2025-03-18T23:23:01.177266
SPY,2025-04-17,270.0,C,30,324.21,0.0,0.0,2.0,0.0,1.0000000000000003e-05,0.7,0.0,0.0,0.0,561.02,2025-03-18T23:23:01.177312
SPY,2025-04-17,275.0,C,30,316.0,333.81,337.34,1.0,1.0,3.435853461151123,0.7,0.0,0.0,0.0,561.02,2025-03-18T23:23:01.177350
SPY,2025-04-17,280.0,C,30,293.02,308.53,311.42,3.0,0.0,2.6786532057189945,0.7,0.0,0.0,0.0,561.02,2025-03-18T23:23:01.177385
SPY,2025-04-17,285.0,C,30,321.51,290.58,291.79,1.0,1.0,2.0958299557495113,0.7,0.0,0.0,0.0,561.02,2025-03-18T23:23:01.177418
SPY,2025-04-17,290.0,C,30,298.06,299.38,302.43,,1.0,2.6050449913024902,0.7,0.0,0.0,0.0,561.02,2025-03-18T23:23:01.177451
SPY,2025-04-17,295.0,C,30,297.27,306.95,310.51,2.0,13.0,2.968386368103027,0.7,0.0,0.0,0.0,561.02,2025-03-18T23:23:01.177484
SPY,2025-04-17,300.0,C,30,252.13,0.0,0.0,5.0,0.0,1.0000000000000003e-05,0.7,0.0,0.0,0.0,561.02,2025-03-18T23:23:01.177517
SPY,2025-04-17,305.0,C,30,292.05,287.79,290.45,12.0,32.0,2.556033883361816,0.7,0.0,0.0,0.0,561.02,2025-03-18T23:23:01.177549
SPY,2025-04-17,320.0,C,30,279.73,290.03,293.65,5.0,3.0,2.9227932203674323,0.7,0.0,0.0,0.0,561.02,2025-03-18T23:23:01.177582
SPY,2025-04-17,325.0,C,30,252.24,0.0,0.0,1.0,0.0,1.0000000000000003e-05,0.7,0.0,0.0,0.0,561.02,2025-03-18T23:23:01.177614
SPY,2025-04-17,330.0,C,30,256.93,0.0,0.0,16.0,0.0,1.0000000000000003e-05,0.7,0.0,0.0,0.0,561.02,2025-03-18T23:23:01.177646
SPY,2025-04-17,335.0,C,30,228.42,0.0,0.0,1.0,0.0,1.0000000000000003e-05,0.7,0.0,0.0,0.0,561.02,2025-03-18T23:23:01.177679
SPY,2025-04-17,340.0,C,30,267.0,242.27,245.68,8.0,3.0,1.9132694766235354,0.7,0.0,0.0,0.0,561.02,2025-03-18T23:23:01.177711
